ticket_id,category,priority,created_at,resolved_at,sla_minutes
HD-3001,access,P1,2026-03-02T09:00:00Z,2026-03-02T09:38:00Z,60
HD-3002,access,P2,2026-03-02T12:00:00Z,2026-03-02T13:06:00Z,240
HD-3003,access,P3,2026-03-02T15:00:00Z,2026-03-02T19:35:00Z,480
HD-3004,access,P4,2026-03-02T18:00:00Z,2026-03-03T13:32:00Z,1440
HD-3005,access,P1,2026-03-02T21:00:00Z,2026-03-02T21:51:00Z,60
HD-3006,access,P2,2026-03-03T00:00:00Z,2026-03-03T01:11:00Z,240
HD-3007,access,P3,2026-03-03T03:00:00Z,2026-03-03T06:19:00Z,480
HD-3008,access,P4,2026-03-03T06:00:00Z,2026-03-04T01:34:00Z,1440
HD-3009,access,P1,2026-03-03T09:00:00Z,2026-03-03T09:44:00Z,60
HD-3010,access,P2,2026-03-03T12:00:00Z,2026-03-03T13:52:00Z,240
HD-3011,access,P3,2026-03-03T15:00:00Z,2026-03-03T21:23:00Z,480
HD-3012,access,P4,2026-03-03T18:00:00Z,2026-03-04T06:09:00Z,1440
HD-3013,access,P1,2026-03-03T21:00:00Z,2026-03-03T21:29:00Z,60
HD-3014,access,P2,2026-03-04T00:00:00Z,2026-03-04T01:44:00Z,240
HD-3015,access,P3,2026-03-04T03:00:00Z,2026-03-04T07:12:00Z,480
HD-3016,access,P4,2026-03-04T06:00:00Z,2026-03-04T23:26:00Z,1440
HD-3017,access,P1,2026-03-04T09:00:00Z,2026-03-04T09:56:00Z,60
HD-3018,access,P2,2026-03-04T12:00:00Z,2026-03-04T14:05:00Z,240
HD-3019,hardware,P3,2026-03-04T15:00:00Z,2026-03-04T19:47:00Z,480
HD-3020,hardware,P4,2026-03-04T18:00:00Z,2026-03-05T11:05:00Z,1440
HD-3021,hardware,P1,2026-03-04T21:00:00Z,2026-03-04T21:18:00Z,60
HD-3022,hardware,P2,2026-03-05T00:00:00Z,2026-03-05T01:49:00Z,240
HD-3023,hardware,P3,2026-03-05T03:00:00Z,2026-03-05T04:51:00Z,480
HD-3024,hardware,P4,2026-03-05T06:00:00Z,2026-03-06T00:01:00Z,1440
HD-3025,hardware,P1,2026-03-05T09:00:00Z,2026-03-05T09:25:00Z,60
HD-3026,hardware,P2,2026-03-05T12:00:00Z,2026-03-05T14:46:00Z,240
HD-3027,hardware,P3,2026-03-05T15:00:00Z,2026-03-05T19:13:00Z,480
HD-3028,hardware,P4,2026-03-05T18:00:00Z,2026-03-06T13:25:00Z,1440
HD-3029,hardware,P1,2026-03-05T21:00:00Z,2026-03-05T21:55:00Z,60
HD-3030,hardware,P2,2026-03-06T00:00:00Z,2026-03-06T02:12:00Z,240
HD-3031,software,P3,2026-03-06T03:00:00Z,2026-03-06T07:55:00Z,480
HD-3032,software,P4,2026-03-06T06:00:00Z,2026-03-07T01:56:00Z,1440
HD-3033,software,P1,2026-03-06T09:00:00Z,2026-03-06T09:31:00Z,60
HD-3034,software,P2,2026-03-06T12:00:00Z,2026-03-06T15:31:00Z,240
HD-3035,software,P3,2026-03-06T15:00:00Z,2026-03-06T18:06:00Z,480
HD-3036,software,P4,2026-03-06T18:00:00Z,2026-03-07T13:53:00Z,1440
HD-3037,software,P1,2026-03-06T21:00:00Z,2026-03-06T21:22:00Z,60
HD-3038,software,P2,2026-03-07T00:00:00Z,2026-03-07T02:25:00Z,240
HD-3039,software,P3,2026-03-07T03:00:00Z,2026-03-07T10:27:00Z,480
HD-3040,software,P4,2026-03-07T06:00:00Z,2026-03-07T12:00:00Z,1440
HD-3041,software,P1,2026-03-07T09:00:00Z,2026-03-07T09:12:00Z,60
HD-3042,software,P2,2026-03-07T12:00:00Z,2026-03-07T13:59:00Z,240
HD-3043,software,P3,2026-03-07T15:00:00Z,2026-03-07T18:18:00Z,480
HD-3044,software,P4,2026-03-07T18:00:00Z,2026-03-08T13:53:00Z,1440
HD-3045,software,P1,2026-03-07T21:00:00Z,2026-03-07T21:24:00Z,60
HD-3046,network,P2,2026-03-08T00:00:00Z,2026-03-08T03:42:00Z,240
HD-3047,network,P3,2026-03-08T03:00:00Z,2026-03-08T06:29:00Z,480
HD-3048,network,P4,2026-03-08T06:00:00Z,2026-03-08T22:10:00Z,1440
HD-3049,network,P1,2026-03-08T09:00:00Z,2026-03-08T09:35:00Z,60
HD-3050,network,P2,2026-03-08T12:00:00Z,2026-03-08T13:16:00Z,240
HD-3051,network,P3,2026-03-08T15:00:00Z,2026-03-08T22:21:00Z,480
HD-3052,network,P4,2026-03-08T18:00:00Z,2026-03-09T16:03:00Z,1440
HD-3053,network,P1,2026-03-08T21:00:00Z,2026-03-08T21:19:00Z,60
HD-3054,network,P2,2026-03-09T00:00:00Z,2026-03-09T03:32:00Z,240
HD-3055,network,P3,2026-03-09T03:00:00Z,2026-03-09T08:28:00Z,480
HD-3056,email,P4,2026-03-09T06:00:00Z,2026-03-09T19:57:00Z,1440
HD-3057,email,P1,2026-03-09T09:00:00Z,2026-03-09T09:12:00Z,60
HD-3058,email,P2,2026-03-09T12:00:00Z,2026-03-09T13:07:00Z,240
HD-3059,email,P3,2026-03-09T15:00:00Z,2026-03-09T16:54:00Z,480
HD-3060,email,P4,2026-03-09T18:00:00Z,2026-03-10T13:11:00Z,1440
HD-3061,email,P1,2026-03-09T21:00:00Z,2026-03-09T22:09:00Z,60
HD-3062,email,P2,2026-03-10T00:00:00Z,2026-03-10T04:53:00Z,240
HD-3063,email,P3,2026-03-10T03:00:00Z,2026-03-10T13:18:00Z,480
HD-3064,email,P4,2026-03-10T06:00:00Z,2026-03-11T19:17:00Z,1440
HD-3065,account,P1,2026-03-10T09:00:00Z,2026-03-10T10:25:00Z,60
HD-3066,account,P2,2026-03-10T12:00:00Z,2026-03-10T18:14:00Z,240
HD-3067,account,P3,2026-03-10T15:00:00Z,2026-03-11T01:27:00Z,480
HD-3068,account,P4,2026-03-10T18:00:00Z,2026-03-12T02:37:00Z,1440
HD-3069,account,P1,2026-03-10T21:00:00Z,2026-03-10T22:13:00Z,60
HD-3070,account,P2,2026-03-11T00:00:00Z,2026-03-11T05:14:00Z,240
HD-3071,account,P3,2026-03-11T03:00:00Z,2026-03-11T12:16:00Z,480
HD-3072,account,P4,2026-03-11T06:00:00Z,2026-03-12T18:24:00Z,1440
